tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,store_and_fwd_flag,PULocationID,DOLocationID,fare_amount,tip_amount
01/01/2020 00:32:30,01/01/2020 00:32:48,2,0,No,79,79,2.5,0
01/01/2020 00:30:14,01/01/2020 01:10:44,1,0,No,209,205,42.2,0
01/01/2020 00:38:42,01/01/2020 00:38:54,1,0,No,265,265,52,15.8
01/01/2020 06:53:09,01/01/2020 06:53:16,1,0,No,244,244,62,0
01/01/2020 00:21:10,01/01/2020 00:22:39,1,0.33,No,146,146,-3.5,0
01/01/2020 00:08:37,01/01/2020 00:08:42,1,0,No,7,7,2.5,0
01/01/2020 00:30:16,01/01/2020 00:42:54,0,8.1,No,132,95,23.5,0
01/01/2020 00:34:42,01/01/2020 00:47:33,1,0,No,265,248,22.2,0
01/01/2020 00:34:11,01/01/2020 00:34:11,1,0,No,41,264,31,0
01/01/2020 00:59:30,01/01/2020 01:00:02,1,0,No,51,51,30.2,0
01/01/2020 08:29:59,01/01/2020 08:30:02,0,0,No,132,132,2.5,0
01/01/2020 00:27:26,01/01/2020 01:07:45,0,14,No,138,72,43.5,0
01/01/2020 00:17:43,01/01/2020 00:17:51,4,0,No,92,92,75,0
01/01/2020 00:38:04,01/01/2020 00:51:46,0,3.9,No,237,42,13.5,3.45
01/01/2020 00:52:53,01/01/2020 01:01:05,0,1.4,No,42,116,7.5,1.75
01/01/2020 00:04:42,01/01/2020 00:09:20,0,1,No,239,238,5.5,0
01/01/2020 00:45:00,01/01/2020 00:45:10,2,0,No,137,264,7.8,0
01/01/2020 00:13:40,01/01/2020 00:31:14,2,2.41,No,246,249,-13,0
01/01/2020 00:21:37,01/01/2020 00:27:07,3,0.72,No,68,113,-5.5,0
01/01/2020 00:38:43,01/01/2020 00:38:48,5,0,No,75,75,2.5,0
01/01/2020 00:33:34,01/01/2020 00:33:55,3,0,No,239,142,52,0
01/01/2020 00:34:49,01/01/2020 00:57:39,2,2.93,No,142,164,-16.5,0
01/01/2020 00:46:19,01/01/2020 00:46:23,1,0,No,265,265,65,13.06
01/01/2020 00:43:42,01/01/2020 00:45:23,2,0,No,161,161,3,0
01/01/2020 00:56:44,01/01/2020 01:25:46,0,4.2,No,231,48,20.5,2
01/01/2020 09:54:58,01/01/2020 09:55:49,1,0,No,193,193,2.5,0
01/01/2020 00:16:40,01/01/2020 00:34:11,0,2,No,107,161,12,0
01/01/2020 00:36:22,01/01/2020 00:47:01,0,1,No,161,229,8,0
01/01/2020 00:49:24,01/01/2020 01:03:56,0,2,No,229,107,11,1
01/01/2020 00:55:04,01/01/2020 00:56:18,3,0,No,4,4,0,0
01/01/2020 00:28:36,01/01/2020 00:52:08,0,7,No,249,181,23.5,5.46
01/01/2020 00:48:57,01/01/2020 00:52:37,1,0.2,No,141,141,-4,0
01/01/2020 10:59:03,01/01/2020 11:03:37,0,0,No,145,145,4.5,0
01/01/2020 00:38:08,01/01/2020 00:39:21,1,0.09,No,237,237,-3,0
01/01/2020 10:45:27,01/01/2020 10:45:31,1,0,No,193,193,2.5,0
01/01/2020 10:23:17,01/01/2020 10:23:21,1,0,No,132,132,2.5,0
01/01/2020 00:44:30,01/01/2020 00:44:30,1,0,Yes,42,264,24.5,0
01/01/2020 12:09:44,01/01/2020 12:22:52,1,0,No,75,213,22.2,0
01/01/2020 00:13:00,01/01/2020 00:25:29,0,2.4,No,170,211,10.5,2.85
01/01/2020 00:57:33,01/01/2020 01:03:31,0,1.1,No,107,170,6.5,1
01/01/2020 00:12:39,01/01/2020 00:20:25,0,1.4,No,158,79,7,1.08
01/01/2020 00:22:10,01/01/2020 00:34:49,0,1.5,No,79,164,9.5,2.65
01/01/2020 00:36:39,01/01/2020 00:46:01,0,1.5,No,234,158,8,1.77
01/01/2020 00:48:38,01/01/2020 01:22:53,0,6.5,No,249,41,27.5,0
01/01/2020 00:26:07,01/01/2020 00:31:29,1,0.91,No,234,114,-5.5,0
01/01/2020 00:17:57,01/01/2020 00:25:46,0,1.5,No,163,142,7.5,0
01/01/2020 00:27:51,01/01/2020 00:34:29,0,1.7,No,142,151,7.5,2.26
01/01/2020 00:49:08,01/01/2020 00:52:54,1,0.02,No,164,164,-4,0
01/01/2020 00:44:31,01/01/2020 00:45:05,1,0.06,No,68,90,-2.5,0
01/01/2020 00:14:45,01/01/2020 00:33:42,0,3.2,No,161,231,14,0
01/01/2020 00:39:12,01/01/2020 01:10:37,0,6.1,No,249,74,24,0
01/01/2020 00:56:43,01/01/2020 01:31:07,1,0,No,76,49,22.2,0
01/01/2020 00:46:56,01/01/2020 00:59:16,1,2.33,No,87,249,-10.5,0
01/01/2020 14:36:08,01/01/2020 14:36:21,1,0,No,145,145,2.5,0
01/01/2020 14:32:27,01/01/2020 14:35:49,1,0,Yes,145,145,4,0
01/01/2020 00:28:42,01/01/2020 00:44:16,0,6.2,No,152,68,20,0
01/01/2020 00:50:14,01/01/2020 01:10:27,0,1.6,No,68,164,13.5,0
01/01/2020 00:44:20,01/01/2020 00:44:22,1,0,No,239,264,65,13.16
01/01/2020 00:50:54,01/01/2020 01:02:48,0,2.6,Yes,4,229,10.5,1.55
01/01/2020 00:42:43,01/01/2020 00:42:46,1,0,No,68,68,100,25.2
01/01/2020 00:31:54,01/01/2020 00:38:01,0,1.4,No,151,41,6.5,0
01/01/2020 14:43:47,01/01/2020 14:44:04,1,0,No,145,145,2.5,0
01/01/2020 00:18:30,01/01/2020 00:21:27,1,0.25,No,107,164,-4,0
01/01/2020 00:09:31,01/01/2020 00:11:16,0,0.7,No,263,75,4,1.95
01/01/2020 00:18:48,01/01/2020 00:24:49,0,1,No,43,262,6,1.95
01/01/2020 14:20:30,01/01/2020 14:20:42,1,0,No,193,193,2.5,0
01/01/2020 00:51:16,01/01/2020 00:59:31,0,1,No,236,262,7,2
01/01/2020 14:22:09,01/01/2020 14:22:22,1,0,No,193,193,2.5,0
01/01/2020 00:05:15,01/01/2020 00:15:39,0,0.9,No,246,68,8,0
01/01/2020 00:25:42,01/01/2020 00:46:00,0,5,No,246,87,18,0
01/01/2020 00:47:55,01/01/2020 01:26:58,0,7,No,87,239,29.5,0
01/01/2020 00:16:37,01/01/2020 00:19:26,0,0.5,No,234,107,4,0
01/01/2020 00:36:15,01/01/2020 00:36:27,4,0,No,161,161,20,4.66
01/01/2020 14:23:47,01/01/2020 14:23:58,1,0,No,193,193,2.5,0
01/01/2020 00:49:03,01/01/2020 00:49:07,1,0,No,264,264,20,0
01/01/2020 00:11:29,01/01/2020 00:29:29,0,2.2,No,148,170,12.5,0
01/01/2020 00:42:36,01/01/2020 00:51:45,0,1.3,No,161,137,8,2.35
01/01/2020 00:28:39,01/01/2020 00:33:13,0,0.7,No,231,87,5,1.75
01/01/2020 00:35:11,01/01/2020 00:57:36,0,5.8,No,87,161,21.5,5.05
01/01/2020 00:53:43,01/01/2020 01:03:36,0,1,No,148,79,8,0
01/01/2020 00:30:32,01/01/2020 00:48:59,0,2.4,No,164,211,13,4.2
01/01/2020 00:30:06,01/01/2020 00:30:06,1,0,No,264,264,72,10
01/01/2020 00:27:06,01/01/2020 00:49:40,1,0,No,216,107,36.2,0
01/01/2020 00:23:13,01/01/2020 01:02:13,1,0,No,77,47,42.2,0
01/01/2020 00:23:21,01/01/2020 00:36:18,0,1.2,No,246,186,9.5,2.65
01/01/2020 00:56:40,01/01/2020 01:11:39,0,2.9,No,90,141,12,2.37
01/01/2020 00:24:39,01/01/2020 00:42:38,0,2,No,141,143,13,0
01/01/2020 14:25:28,01/01/2020 14:27:28,0,0.4,No,132,132,52,0
01/01/2020 16:33:47,01/01/2020 17:38:21,1,0,No,42,76,46.2,0
01/01/2020 00:48:55,01/01/2020 01:01:23,0,2.1,No,239,140,10,2.76
01/01/2020 00:56:11,01/01/2020 00:56:40,1,0,No,265,265,50,0
01/01/2020 00:10:34,01/01/2020 00:21:01,0,2.6,No,148,33,11,2.95
01/01/2020 00:25:51,01/01/2020 00:41:43,0,6.3,No,65,162,20.5,0
12/31/2019 23:26:25,12/31/2019 23:27:57,2,0.17,No,162,163,-3,0
01/01/2020 00:41:21,01/01/2020 00:43:48,1,0,No,224,224,52,0
01/01/2020 00:00:05,01/01/2020 00:26:30,0,3.4,No,264,68,18,4.35
01/01/2020 00:46:33,01/01/2020 00:54:25,0,1,No,234,114,7,2.7
01/01/2020 00:22:04,01/01/2020 00:57:16,1,0,No,119,255,30.2,0
01/01/2020 00:25:55,01/01/2020 00:25:59,0,0,No,68,68,2.5,0
01/01/2020 00:37:01,01/01/2020 00:45:16,0,2.4,No,237,75,9.5,0
01/01/2020 00:28:08,01/01/2020 01:12:15,1,0,No,41,35,40.2,0
01/01/2020 00:57:27,01/01/2020 00:57:43,2,0,No,238,238,40,2
01/01/2020 00:12:10,01/01/2020 00:16:43,0,1,No,166,116,5.5,0
01/01/2020 00:19:48,01/01/2020 00:27:03,0,1.4,No,116,41,7,1.65
01/01/2020 00:32:41,01/01/2020 00:36:07,0,0.2,No,41,41,4,0
01/01/2020 00:53:16,01/01/2020 01:18:42,1,0,No,232,243,30.2,0
01/01/2020 00:14:19,01/01/2020 00:35:48,0,4.2,No,43,107,17,5.2
01/01/2020 00:40:02,01/01/2020 00:59:25,0,1.9,Yes,107,161,13,5
01/01/2020 00:47:42,01/01/2020 00:50:18,3,0,Yes,48,48,3.5,1.45
01/01/2020 00:30:31,01/01/2020 00:30:46,1,0.01,No,239,239,-2.5,0
01/01/2020 00:18:58,01/01/2020 00:30:53,2,0.81,No,107,234,-8.5,0
01/01/2020 00:36:16,01/01/2020 00:36:35,2,0,No,234,234,11,0
01/01/2020 00:11:02,01/01/2020 00:13:14,0,0.4,No,143,142,3.5,1.45
01/01/2020 00:17:30,01/01/2020 00:22:47,0,0.6,No,142,48,5,0
01/01/2020 00:33:21,01/01/2020 00:37:47,0,0.8,No,142,239,5,1.75
01/01/2020 00:40:03,01/01/2020 00:48:39,0,1.6,No,239,236,8,2
01/01/2020 00:55:23,01/01/2020 00:59:14,0,1,No,237,229,5,2.2
01/01/2020 00:42:49,01/01/2020 00:47:12,0,1.3,No,263,229,6,1.96
01/01/2020 00:41:49,01/01/2020 00:59:15,0,2.4,No,68,211,12.5,3.25
01/01/2020 00:15:51,01/01/2020 00:40:29,0,3.5,No,161,211,18,0
01/01/2020 00:30:48,01/01/2020 00:59:44,0,2.7,No,90,142,18,6.5
01/01/2020 00:14:29,01/01/2020 00:18:29,0,0.5,No,234,234,4.5,1.65
01/01/2020 00:36:18,01/01/2020 00:40:10,0,0.8,No,236,263,5,0
01/01/2020 00:50:55,01/01/2020 00:53:24,0,0.4,No,263,263,4,2.3
01/01/2020 00:58:01,01/01/2020 01:02:39,1,0.64,No,170,233,-5,0
01/01/2020 00:01:02,01/01/2020 00:01:17,1,0,No,249,90,10,2.56
01/01/2020 00:51:10,01/01/2020 00:55:27,1,0,No,265,265,0.01,0
01/01/2020 00:10:44,01/01/2020 00:18:38,1,2.32,No,140,74,-9,0
01/01/2020 00:26:04,01/01/2020 00:26:34,2,0,No,265,265,65,5
01/01/2020 18:06:30,01/01/2020 18:07:31,1,0,No,48,163,20,0
01/01/2020 00:55:03,01/01/2020 01:03:20,0,1.2,No,79,170,7.5,2
01/01/2020 00:29:48,01/01/2020 00:29:55,1,0,No,79,264,10.8,2.32
01/01/2020 00:46:53,01/01/2020 00:58:30,0,1.3,No,164,68,9,2
01/01/2020 00:55:55,01/01/2020 00:57:44,1,0,No,265,265,250,25
01/01/2020 00:26:48,01/01/2020 01:27:51,0,12,No,162,48,0.01,0
01/01/2020 00:41:05,01/01/2020 01:11:03,0,4.3,No,261,50,21.5,5.05
01/01/2020 00:18:52,01/01/2020 00:18:56,0,0,No,68,68,8.5,1.86
01/01/2020 18:07:09,01/01/2020 18:07:12,2,0,No,193,193,0,0
01/01/2020 00:11:03,01/01/2020 00:17:46,0,2.2,No,237,238,8.5,3.5
01/01/2020 00:23:15,01/01/2020 00:29:03,0,1.3,No,236,237,6.5,2.05
01/01/2020 00:36:25,01/01/2020 01:03:54,0,3.4,No,237,90,18,5.45
01/01/2020 18:54:35,01/01/2020 18:55:36,1,0,No,193,193,0,0
01/01/2020 19:17:07,01/01/2020 19:17:22,1,0,No,145,145,2.5,0
01/01/2020 00:31:22,01/01/2020 01:04:13,1,0,No,237,200,32.2,0
01/01/2020 00:44:00,01/01/2020 01:14:16,1,0,No,77,262,42.2,0
01/01/2020 19:28:10,01/01/2020 19:28:46,5,0,No,145,145,2.5,0
01/01/2020 00:11:42,01/01/2020 00:27:14,0,2,No,114,137,11.5,0
01/01/2020 00:34:12,01/01/2020 00:54:10,0,4.5,No,79,181,17.5,4.25
01/01/2020 00:57:40,01/01/2020 01:01:33,0,0.8,No,181,106,5,0
01/01/2020 00:10:30,01/01/2020 00:24:14,1,6.96,No,229,196,-20,0
01/01/2020 00:22:10,01/01/2020 00:48:23,1,0,No,41,248,26.2,0
01/01/2020 20:43:24,01/01/2020 20:44:00,1,0,No,107,107,73,0
01/01/2020 21:52:53,01/01/2020 22:27:55,1,0,No,97,244,36.2,0
01/01/2020 00:25:44,01/01/2020 00:32:37,0,2.7,No,132,219,10,0
01/01/2020 00:06:18,01/01/2020 00:06:19,3,0,No,264,264,62,15.58
01/01/2020 00:43:19,01/01/2020 00:50:58,0,1.3,No,249,107,7,2.15
01/01/2020 00:21:37,01/01/2020 00:41:17,0,4,No,246,148,16,3.95
01/01/2020 00:43:19,01/01/2020 00:54:54,0,1.9,No,148,137,9.5,1
01/01/2020 00:59:51,01/01/2020 01:08:06,0,1.7,No,137,141,8,2
01/01/2020 23:48:26,01/01/2020 23:48:44,1,0,No,265,265,300,60.06
01/01/2020 00:31:23,01/01/2020 00:40:48,0,2.2,No,236,162,9,1.92
01/01/2020 00:41:42,01/01/2020 00:53:41,0,3,No,162,146,12,2.37
01/02/2020 07:58:59,01/02/2020 08:36:52,1,0,No,21,140,36.2,0
01/02/2020 07:18:00,01/02/2020 07:55:39,1,0,No,39,97,24.2,0
01/01/2020 00:36:55,01/01/2020 00:44:47,0,2.2,No,142,24,8.5,1.85
01/01/2020 00:28:04,01/01/2020 00:34:33,1,0.81,No,79,114,-6,0
01/02/2020 08:20:37,01/02/2020 08:45:32,0,11.2,No,132,138,32,0
01/01/2020 00:15:45,01/01/2020 00:19:37,0,0.6,No,162,229,4.5,0
01/01/2020 00:30:19,01/01/2020 00:36:37,0,0.9,No,170,233,6,1.8
01/01/2020 00:48:03,01/01/2020 01:03:10,0,2.5,No,107,141,11.5,3.05
01/01/2020 00:14:46,01/01/2020 00:27:45,1,0,No,169,184,24.2,0
01/01/2020 00:39:42,01/01/2020 00:53:05,1,0,No,3,147,24.2,0
01/02/2020 08:27:54,01/02/2020 08:56:17,1,0,No,101,83,38.2,0
07/01/2020 13:21:33,07/01/2020 13:38:59,1,0,No,7,170,24.2,0
01/01/2020 00:44:44,01/01/2020 00:45:21,2,0,No,234,234,15,3.05
01/01/2020 00:40:30,01/01/2020 00:45:02,2,0.8,No,42,41,-5.5,0
07/01/2020 13:54:42,07/01/2020 14:37:46,1,0,No,161,247,28.2,0
01/01/2020 00:23:26,01/01/2020 00:26:46,0,0.5,No,229,237,4.5,0
01/01/2020 00:31:23,01/01/2020 00:57:10,0,2.5,No,43,234,16.5,0
01/01/2020 00:59:19,01/01/2020 01:31:17,0,5.2,No,234,151,23,5.35
01/01/2020 00:16:55,01/01/2020 00:35:49,1,0,No,116,107,26.2,0
01/01/2020 00:02:07,01/01/2020 00:10:15,0,1.8,No,170,224,8.5,1
01/01/2020 00:14:49,01/01/2020 00:26:12,0,0.9,Yes,79,234,8,2.35
01/01/2020 00:37:57,01/01/2020 00:42:56,0,0.5,Yes,170,164,5,1.75
01/01/2020 00:07:37,01/01/2020 00:36:10,1,0,No,42,76,42.2,0
01/01/2020 00:36:56,01/01/2020 01:24:46,1,0,No,17,42,34.2,0
01/01/2020 00:08:09,01/01/2020 00:25:07,0,3.2,No,142,262,14,0
01/01/2020 00:44:35,01/01/2020 01:14:16,0,4.4,No,90,238,21.5,0
01/01/2020 00:03:18,01/01/2020 00:26:13,1,0,No,228,210,30.2,0
01/01/2020 00:08:13,01/01/2020 00:08:27,5,0,No,48,48,-2.5,0
01/01/2020 00:10:08,01/01/2020 00:14:00,0,1.1,No,43,236,5,0
01/01/2020 00:26:19,01/01/2020 00:36:10,0,2.3,Yes,236,162,9.5,1.6
